# In 'data_normal_1a.xy'
# Num of data=    9500
# x_min= 170.006, x_max= 369.984
# y_min=-121.266, y_max= 117.565
# N_bin=  14
# Population 
# Distribution 
#      x     p(x)        y     p(y)
 177.148  0.06848 -112.736  0.00980 
 191.432  0.07569  -95.677  0.06172 
 205.716  0.07503  -78.618  0.13746 
 220.001  0.07296  -61.558  0.16516 
 234.285  0.07055  -44.499  0.08637 
 248.569  0.07602  -27.440  0.02749 
 262.853  0.08126  -10.380  0.01432 
 277.137  0.08148    6.679  0.02159 
 291.421  0.07187   23.738  0.06762 
 305.706  0.07165   40.798  0.15799 
 319.990  0.07165   57.857  0.16379 
 334.274  0.07405   74.917  0.06910 
 348.558  0.06957   91.976  0.01612 
 362.842  0.03976  109.035  0.00147 
# Intg_x p(x)= 1.00000 Intg_y p(y)= 1.00000 
